filename,label
video264.mp4,0.5513
video265.mp4,0.9619
video266.mp4,0.2184
video267.mp4,0.0869
video268.mp4,0.8433
video269.mp4,0.1058
video270.mp4,0.9900
video271.mp4,0.5000
video272.mp4,0.0100
video273.mp4,0.1917
video274.mp4,0.0100
video275.mp4,0.0547
video276.mp4,0.0306
video277.mp4,0.1464
video278.mp4,0.1239
video279.mp4,0.0432
video280.mp4,0.1743
video281.mp4,0.2556
video282.mp4,0.7422
video283.mp4,0.1866
video284.mp4,0.4507
video285.mp4,0.0100
video286.mp4,0.1892
video287.mp4,0.0100
video288.mp4,0.3206
video289.mp4,0.0100
video290.mp4,0.1774
video291.mp4,0.1128
video292.mp4,0.9644
video293.mp4,0.0794
video294.mp4,0.0100
video295.mp4,0.1656
video296.mp4,0.2661
video297.mp4,0.3286
video298.mp4,0.5000
video299.mp4,0.4688
video300.mp4,0.2864
