filename,label
video290.mp4,0.6460
video291.mp4,0.0274
video292.mp4,0.9900
video293.mp4,0.5000
video294.mp4,0.9248
video295.mp4,0.5986
video296.mp4,0.9604
video297.mp4,0.7139
video298.mp4,0.0638
video299.mp4,0.9900
video300.mp4,0.6548
